age,education-num,marital-status,occupation,sex,capital-gain,native-country
47,14,5,9,1,0,38
58,13,2,0,1,0,29
35,9,2,13,1,2885,38
27,9,4,0,0,0,38
46,13,2,0,1,0,29
28,13,2,11,1,0,38
43,10,2,0,1,0,38
41,9,0,3,0,0,38
28,9,2,13,1,0,38
55,14,3,9,0,10520,38
30,13,4,8,1,14084,38
42,13,2,0,0,0,38
41,9,2,2,1,0,38
44,14,2,3,1,15024,38
41,13,2,9,0,0,38
32,13,2,9,1,99999,38
36,13,2,9,1,0,38
47,13,4,9,0,0,38
46,13,2,3,1,0,38
43,13,0,9,0,14344,38
53,8,4,7,0,0,38
37,13,2,3,1,0,38
22,8,2,4,0,0,38
31,9,2,3,1,0,38
32,14,2,9,1,0,38
36,16,2,9,0,0,38
40,9,2,13,1,0,38
42,14,2,9,1,0,38
47,10,2,3,1,0,38
21,9,4,7,0,0,38
47,11,2,3,0,0,38
49,9,2,2,1,0,38
48,12,2,13,1,0,38
25,9,3,0,1,0,38
36,13,2,11,1,0,38
48,13,2,0,1,0,38
37,12,2,6,1,0,38
53,9,2,3,0,0,38
25,10,4,12,0,0,38
45,13,2,3,0,0,38
61,10,2,11,1,0,38
36,9,0,2,1,0,38
19,6,4,0,0,0,38
40,10,2,2,1,0,38
42,14,4,3,1,0,38
31,9,2,3,1,0,38
53,14,0,4,1,25236,38
41,13,2,3,1,0,38
38,9,0,4,1,0,38
60,13,2,3,1,0,38
28,9,2,6,1,0,38
41,13,2,2,1,3103,38
49,14,2,3,1,0,38
30,12,4,6,0,0,38
38,13,2,3,0,7688,38
53,8,2,0,0,0,38
43,9,2,2,1,0,38
39,9,2,6,0,0,38
35,12,2,0,1,0,38
19,10,4,12,0,0,38
59,10,2,3,1,0,38
38,15,2,9,1,0,38
24,10,2,0,0,0,38
37,10,2,7,1,0,38
32,9,2,3,1,0,38
52,11,2,2,1,0,38
60,10,0,11,0,0,38
47,9,2,1,0,7688,38
37,9,0,2,1,0,38
31,10,2,12,1,0,38
27,13,2,10,1,0,38
44,10,0,0,0,0,38
40,10,2,12,0,0,38
38,13,2,10,1,7298,38
35,9,2,3,1,0,38
26,9,4,11,1,0,38
47,13,4,3,0,0,38
52,9,6,7,0,0,18
57,3,2,13,1,0,38
51,12,2,2,1,7688,38
32,12,0,11,1,2597,38
31,5,2,2,1,0,38
54,9,2,0,1,0,38
44,10,2,6,1,3103,38
25,9,4,5,1,0,38
45,9,2,2,1,0,38
22,10,4,0,0,0,38
53,10,2,2,1,0,38
31,13,2,9,1,7688,1
52,9,2,0,1,0,38
46,7,1,7,0,0,38
30,9,2,6,1,0,38
38,13,5,2,1,0,38
29,11,2,9,0,5178,38
39,14,2,9,0,0,38
46,14,2,3,1,0,38
50,9,2,13,1,0,38
36,13,2,2,1,0,38
63,14,2,9,1,0,38
20,9,4,3,0,0,38
62,12,6,9,0,0,38
33,11,4,6,0,0,38
23,13,4,0,0,0,38
23,9,4,0,0,0,38
40,9,5,6,0,0,38
58,9,2,13,0,0,38
42,9,0,11,0,0,38
27,13,2,9,1,0,38
33,9,2,2,1,0,38
56,13,2,0,1,0,38
34,13,2,9,1,0,38
48,9,4,3,0,0,38
24,13,4,13,0,0,38
37,10,2,2,1,0,38
31,13,2,9,1,0,38
31,9,0,0,1,0,38
35,9,4,12,1,0,38
55,9,0,0,0,0,38
27,13,4,3,0,0,38
26,3,4,4,1,0,25
36,14,2,3,1,0,38
45,13,2,9,1,0,38
58,9,2,3,1,0,38
66,13,2,3,1,0,38
62,10,2,11,1,0,38
53,11,5,2,1,0,30
34,13,2,9,1,0,38
75,7,4,3,1,0,38
20,9,4,7,1,0,38
39,9,2,11,0,0,38
41,10,0,0,0,0,38
46,15,2,9,1,0,38
36,10,0,0,0,0,38
52,9,2,5,1,0,38
20,9,4,7,1,0,38
47,12,2,0,1,0,38
41,9,2,12,0,7298,38
23,7,4,13,0,0,38
27,9,2,3,0,0,38
58,10,2,12,1,0,38
50,12,0,9,0,0,38
60,9,2,10,1,0,38
37,11,2,2,1,0,38
51,9,2,0,1,0,38
23,13,4,9,0,0,38
52,13,2,3,1,0,38
37,9,2,0,1,0,8
42,14,2,9,1,0,38
47,15,0,9,1,27828,38
46,14,2,9,1,0,38
39,9,2,6,1,0,38
35,13,4,11,0,8614,38
27,9,4,2,1,0,38
22,13,4,0,0,0,38
29,10,4,9,0,0,38
39,11,0,1,0,10520,38
45,11,4,10,0,14084,38
31,10,2,3,1,0,38
49,15,4,3,0,0,38
27,9,4,7,0,0,38
23,9,4,4,1,0,30
27,10,0,11,0,0,28
33,15,4,9,0,0,38
47,9,2,12,1,0,38
39,14,2,9,1,0,38
30,12,2,3,1,0,38
31,10,2,0,1,0,38
42,10,2,11,1,0,38
59,10,2,3,1,0,38
44,10,2,11,1,0,38
45,14,2,9,1,0,38
52,3,4,5,1,0,38
20,6,4,0,1,0,38
27,13,4,12,1,0,38
34,9,2,2,1,3103,38
38,13,2,3,0,0,38
27,9,2,3,0,0,38
32,10,0,10,0,0,38
36,10,2,11,1,0,38
46,5,2,6,0,0,38
30,13,2,6,1,99999,38
37,13,2,9,1,7688,38
42,11,0,3,1,8614,38
41,9,2,2,1,7688,38
34,13,2,9,1,0,19
34,13,2,9,1,0,38
43,10,2,2,1,0,38
55,9,2,9,0,0,38
32,7,0,7,0,0,38
39,9,2,3,1,0,38
34,15,4,10,1,0,18
25,10,2,2,1,0,38
37,7,2,2,1,0,38
45,11,2,2,1,0,38
51,10,2,11,1,0,38
26,13,2,9,0,0,38
21,9,4,6,1,0,38
42,10,2,3,0,0,38
58,9,0,3,0,0,38
58,6,2,13,1,0,38
38,11,0,12,0,0,38
42,10,2,9,1,0,38
28,6,2,2,0,0,12
42,14,2,3,1,0,38
38,15,4,3,1,0,38
41,14,0,9,1,7430,37
57,9,6,0,0,0,38
46,13,2,3,1,15024,38
46,9,0,3,1,0,38
59,9,2,2,1,0,38
47,10,2,13,1,0,38
54,14,0,3,1,0,38
45,16,2,9,1,0,38
23,9,4,0,0,0,38
44,15,4,9,1,14084,38
43,13,4,11,1,0,38
60,9,2,3,0,3103,38
21,9,4,13,1,0,38
55,9,2,11,1,0,38
33,9,4,2,1,0,38
44,13,2,9,0,4386,38
66,15,2,7,1,10605,38
51,14,2,3,1,7298,38
27,6,0,7,0,0,38
34,9,0,4,1,0,38
23,9,2,7,1,0,38
33,9,0,0,1,0,38
26,9,4,7,1,0,38
30,9,2,0,1,0,38
37,14,2,3,1,0,38
28,10,4,9,1,0,38
49,13,0,9,1,0,38
48,10,2,2,1,0,0
55,9,2,2,1,0,38
23,2,2,11,1,0,38
37,11,4,0,0,0,38
27,9,5,6,1,0,38
59,6,2,13,1,0,38
58,9,2,11,1,0,8
30,10,2,6,1,0,38
22,10,4,0,0,0,38
32,9,2,2,0,7688,38
18,7,4,5,1,0,38
24,13,2,3,0,7688,38
47,15,2,9,1,15024,38
42,14,2,9,1,0,38
33,9,2,0,1,0,38
33,2,3,8,0,0,12
51,10,2,2,1,0,38
47,7,2,2,1,0,5
20,9,4,0,0,0,10
29,16,4,9,1,0,38
52,10,6,2,1,0,38
36,10,0,5,1,0,38
47,9,0,2,1,8614,38
30,10,4,5,1,0,38
42,14,2,3,1,0,38
39,14,2,3,1,0,38
49,11,5,9,0,0,38
46,10,2,2,1,0,38
29,9,0,11,0,0,38
45,13,2,3,1,0,38
43,9,2,7,1,0,38
38,13,2,11,1,0,38
41,10,2,0,0,0,38
49,10,2,3,1,0,38
32,13,0,3,0,0,38
31,9,2,7,0,0,38
59,9,2,2,1,0,38
40,9,2,0,1,0,38
23,10,4,3,0,0,38
53,10,2,0,0,4386,38
53,10,2,3,1,0,38
53,12,2,6,1,0,38
45,13,2,11,1,0,38
41,15,2,9,1,0,38
47,14,2,3,1,0,38
53,11,2,3,1,0,38
38,10,2,13,1,0,38
44,9,2,11,0,0,38
50,9,2,5,1,0,38
57,9,6,0,0,0,38
47,15,2,9,1,0,38
57,13,2,11,0,0,38
39,8,4,5,1,0,38
35,10,2,7,1,0,38
58,9,6,3,1,0,38
51,9,2,11,1,0,38
39,13,2,11,1,7688,38
44,13,2,9,1,0,38
27,10,4,13,1,0,38
54,7,0,0,0,0,38
34,2,4,7,0,0,12
46,15,2,9,1,0,38
49,9,2,2,1,0,38
26,9,4,0,1,0,38
53,9,2,2,1,0,38
57,10,2,11,1,0,38
33,10,4,11,1,0,38
27,13,5,12,1,0,38
34,13,2,3,1,0,38
52,9,0,13,1,0,38
44,14,2,9,1,0,38
28,10,4,7,0,0,38
46,9,2,13,0,5178,38
29,13,2,9,1,0,38
33,14,4,3,1,0,38
57,9,2,2,1,0,38
60,13,2,9,0,0,38
21,9,4,6,1,0,38
45,9,2,2,1,0,38
63,4,2,11,1,0,38
35,9,4,2,1,0,38
48,10,2,10,1,0,38
40,10,5,3,1,0,38
24,8,2,2,1,0,38
35,9,4,6,1,0,25
39,10,4,7,0,0,38
75,10,6,11,1,0,38
41,9,2,11,1,0,38
38,6,5,0,1,0,38
31,10,2,3,1,0,38
45,13,2,13,1,0,38
39,10,2,7,1,0,38
61,14,2,11,1,0,38
43,14,2,9,1,0,38
38,9,5,10,1,0,38
29,13,2,9,1,7298,38
47,3,2,11,1,0,25
31,4,6,0,0,0,38
55,9,2,2,1,0,38
35,10,0,6,1,0,38
33,9,2,2,1,0,38
29,13,2,3,0,0,38
45,9,2,2,1,0,38
24,4,5,6,1,0,38
61,9,2,0,1,0,38
29,7,4,7,0,0,38
57,13,2,10,1,99999,38
42,3,2,6,0,0,25
40,9,0,2,1,0,38
52,13,2,9,1,0,38
41,13,2,12,1,0,38
38,13,2,3,0,0,38
64,10,5,7,1,0,38
19,9,4,13,1,0,38
36,13,0,9,0,0,7
21,10,4,7,0,0,38
25,4,2,5,1,0,25
52,12,5,9,0,0,38
48,10,2,5,1,0,38
48,3,2,13,1,0,38
38,13,4,0,0,0,38
24,9,4,7,0,0,38
39,10,0,0,0,0,38
28,9,2,2,1,0,38
38,13,0,9,0,15020,38
42,9,2,6,1,4386,38
41,6,2,13,1,0,38
27,10,2,3,0,0,38
40,14,4,3,0,0,38
47,12,2,0,1,0,38
46,9,2,2,1,0,38
22,10,2,0,0,0,38
24,9,4,13,1,0,38
51,9,2,12,1,7298,38
59,9,2,13,1,0,38
58,9,4,7,1,0,38
55,9,0,9,0,0,38
71,9,2,11,1,0,38
52,9,2,2,1,0,38
28,9,4,0,0,0,38
41,14,2,3,0,0,22
22,9,4,7,0,0,38
58,9,2,3,0,7688,38
49,10,0,11,0,8614,5
54,9,0,13,1,0,38
50,9,2,3,1,0,38
34,10,2,3,1,0,38
34,9,0,0,0,0,38
38,11,4,2,0,0,31
19,10,4,11,0,0,38
39,13,4,0,0,0,38
41,10,0,6,0,0,15
39,9,0,3,0,0,38
35,15,2,3,1,0,38
40,9,6,7,0,0,38
22,7,4,2,1,0,38
50,13,2,3,1,0,38
42,13,4,9,0,0,38
37,9,4,13,0,0,38
47,15,0,0,1,0,38
37,9,5,2,1,0,38
50,9,2,13,1,0,38
52,9,0,2,0,0,38
35,9,2,2,1,0,38
34,9,2,7,1,0,38
50,13,2,3,1,0,38
33,9,0,0,0,0,38
28,13,2,3,1,0,38
39,9,2,0,0,0,38
44,13,2,3,1,0,38
61,9,6,3,0,0,38
31,13,2,3,1,0,38
26,13,4,11,0,0,38
41,14,4,9,0,0,38
25,9,4,5,1,0,38
32,9,2,8,1,0,23
22,10,4,2,0,0,39
39,13,4,3,0,0,38
38,12,2,7,1,0,7
23,9,2,6,1,0,25
23,12,4,2,1,0,38
49,8,2,2,1,0,38
36,11,0,11,0,0,38
42,14,0,9,1,0,38
32,9,0,0,1,3887,38
56,14,0,9,0,0,38
26,9,5,6,0,0,38
40,15,4,9,1,0,38
33,8,2,0,0,0,38
40,9,0,3,0,0,38
47,14,2,9,1,0,38
44,9,2,13,1,0,38
51,11,2,11,1,3103,38
48,9,2,13,1,0,38
24,13,4,9,1,0,38
27,10,4,11,1,0,38
46,10,2,12,1,0,38
44,10,2,11,1,0,38
28,11,2,12,1,0,38
28,15,4,9,0,0,38
40,9,0,0,1,0,38
59,9,2,2,1,0,38
59,9,2,4,1,0,38
41,14,2,3,1,0,38
30,9,5,2,1,0,38
29,10,2,9,1,0,38
50,13,0,11,1,0,38
40,2,4,7,1,0,7
37,13,4,9,0,0,38
49,9,2,2,1,15024,38
56,16,2,9,1,0,38
59,9,2,13,1,0,38
53,13,2,9,1,0,38
38,10,2,11,0,0,38
32,13,4,7,1,0,34
48,9,2,5,1,3103,38
43,10,2,12,1,0,38
60,9,2,12,1,0,38
23,9,4,7,1,0,25
62,14,4,5,1,4650,38
25,9,4,2,1,0,38
60,15,2,9,1,0,38
27,9,5,3,0,0,38
39,13,0,3,0,0,38
42,13,0,0,1,0,38
39,9,2,2,1,0,38
52,11,2,3,1,0,38
43,9,2,9,0,0,21
42,9,2,2,1,7688,38
42,13,2,3,0,0,38
26,9,4,11,1,0,38
45,14,0,9,1,0,38
51,16,2,9,1,15024,38
28,9,2,9,1,0,38
33,14,4,9,0,0,38
30,9,2,11,1,0,38
49,5,0,6,0,0,38
61,9,2,4,1,0,38
28,9,2,11,1,0,38
21,9,4,0,0,0,38
36,10,2,3,1,0,38
36,9,2,6,1,0,38
50,9,2,3,1,3103,38
34,13,2,9,1,0,38
51,9,3,2,1,0,38
42,15,0,9,0,0,38
34,13,2,4,1,0,38
