ID,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year,last_pymnt_d_month,last_pymnt_d_year,last_credit_pull_d_month,last_credit_pull_d_year
25747,8500.0,8500.0,8500.0, 36 months,6.49,260.48,7 years,RENT,75000.0,Source Verified,Fully Paid,n,debt_consolidation,NY,11.84,0.0,800.0,804.0,0.0,17.0,0.0,10705.0,18.2,31.0,w,0.0,0.0,9351.7621871205,9351.76,8500.0,836.76,15.0,0.0,0.0,2118.31,624.0,620.0,0.0,1.0,Individual,0.0,0.0,60614.0,58900.0,9.0,3788.0,47195.0,18.5,0.0,0.0,162.0,298.0,0.0,0.0,0.0,3.0,19.0,0.0,4.0,4.0,7.0,14.0,14.0,8.0,17.0,4.0,17.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,121863.0,60614.0,57900.0,62963.0,N,Cash,N,5,2016,6,1991,0,2019,0,2019
44303,24250.0,24250.0,24250.0, 60 months,10.64,522.92,4 years,MORTGAGE,55000.0,Verified,Charged Off,n,debt_consolidation,FL,28.6,0.0,755.0,759.0,2.0,13.0,0.0,11283.0,30.0,30.0,f,0.0,0.0,6275.04,6275.04,3866.55,2385.39,0.0,23.1,0.0,522.92,624.0,620.0,0.0,1.0,Individual,0.0,0.0,171797.0,37600.0,3.0,14316.0,12132.0,43.8,0.0,0.0,184.0,218.0,4.0,4.0,5.0,27.0,4.0,0.0,2.0,5.0,3.0,10.0,8.0,7.0,16.0,5.0,13.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,223820.0,43591.0,21600.0,48797.0,N,Cash,N,7,2013,7,1995,7,2014,1,2017
83813,4000.0,4000.0,4000.0, 36 months,13.49,135.73,10+ years,MORTGAGE,91000.0,Source Verified,Fully Paid,n,debt_consolidation,CA,7.07,1.0,675.0,679.0,1.0,11.0,0.0,13559.0,60.5,20.0,w,0.0,0.0,4156.741625452,4156.74,4000.0,156.74,0.0,0.0,0.0,3888.28,629.0,625.0,0.0,1.0,Individual,0.0,0.0,263449.0,22400.0,7.0,23950.0,3896.0,76.1,0.0,0.0,137.0,117.0,2.0,2.0,3.0,6.0,3.0,1.0,3.0,6.0,3.0,3.0,6.0,10.0,11.0,6.0,11.0,0.0,0.0,0.0,5.0,84.2,33.3,0.0,0.0,274300.0,13559.0,16300.0,0.0,N,Cash,N,7,2016,2,2005,10,2016,2,2019
61991,6000.0,6000.0,6000.0, 36 months,12.79,201.56,1 year,RENT,45000.0,Source Verified,Current,n,major_purchase,CA,5.41,0.0,715.0,719.0,0.0,3.0,0.0,2203.0,34.4,6.0,w,592.03,592.03,6644.84,6644.84,5407.97,1236.87,0.0,0.0,0.0,201.56,654.0,650.0,0.0,1.0,Individual,0.0,0.0,4864.0,6400.0,3.0,1621.0,966.0,65.5,0.0,0.0,70.0,31.0,9.0,9.0,0.0,31.0,9.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,9900.0,4864.0,2800.0,3500.0,N,Cash,N,5,2016,7,2010,2,2019,2,2019
49392,2500.0,2500.0,2500.0, 36 months,12.99,84.23,10+ years,MORTGAGE,134000.0,Verified,Fully Paid,n,debt_consolidation,MS,15.36,0.0,700.0,704.0,0.0,13.0,0.0,29258.0,96.6,20.0,f,0.0,0.0,2794.03,2794.03,2500.0,294.03,0.0,0.0,0.0,1869.3,644.0,640.0,0.0,1.0,Individual,0.0,0.0,127547.0,30300.0,7.0,9811.0,1042.0,96.6,0.0,0.0,170.0,233.0,8.0,7.0,2.0,8.0,7.0,0.0,5.0,5.0,5.0,5.0,12.0,5.0,6.0,5.0,13.0,0.0,0.0,0.0,6.0,100.0,100.0,0.0,0.0,178199.0,71864.0,30300.0,51899.0,N,Cash,N,0,2015,7,1995,0,2016,2,2019
37116,7000.0,7000.0,7000.0, 36 months,9.44,224.04,10+ years,RENT,80000.0,Not Verified,Current,n,other,NJ,32.35,0.0,735.0,739.0,1.0,18.0,0.0,15308.0,20.5,36.0,f,3551.74,3551.74,4220.05,4220.05,3448.26,771.79,0.0,0.0,0.0,224.04,694.0,690.0,0.0,1.0,Individual,0.0,0.0,58405.0,74600.0,7.0,3245.0,43158.0,25.1,0.0,0.0,153.0,696.0,24.0,1.0,0.0,24.0,2.0,0.0,5.0,7.0,7.0,10.0,14.0,11.0,21.0,7.0,17.0,0.0,0.0,0.0,3.0,94.4,0.0,0.0,0.0,134372.0,58405.0,57600.0,59772.0,N,Cash,N,7,2017,7,1959,2,2019,2,2019
65942,18650.0,18650.0,18650.0, 60 months,16.01,453.64,< 1 year,MORTGAGE,50000.0,Not Verified,Current,n,debt_consolidation,IL,22.61,0.0,725.0,729.0,0.0,10.0,1.0,3051.0,29.1,15.0,w,15763.44,15763.44,5880.73,5880.73,2886.56,2994.17,0.0,0.0,0.0,453.64,719.0,715.0,0.0,1.0,Individual,0.0,0.0,218387.0,10500.0,4.0,21839.0,4249.0,41.8,0.0,0.0,159.0,55.0,20.0,5.0,4.0,20.0,0.0,2.0,1.0,1.0,3.0,3.0,7.0,4.0,4.0,1.0,10.0,0.0,0.0,0.0,1.0,86.7,0.0,1.0,0.0,241920.0,27828.0,7300.0,39952.0,N,DirectPay,N,1,2018,10,2004,2,2019,2,2019
2216,12000.0,12000.0,12000.0, 36 months,8.99,381.55,10+ years,MORTGAGE,115000.0,Source Verified,Fully Paid,n,credit_card,MA,9.13,1.0,670.0,674.0,0.0,9.0,0.0,14594.0,68.8,13.0,w,0.0,0.0,13330.322649955,13330.32,12000.0,1330.32,0.0,0.0,0.0,18.18,734.0,730.0,0.0,1.0,Individual,0.0,0.0,341201.0,21200.0,4.0,37911.0,6252.0,68.4,0.0,0.0,134.0,240.0,3.0,3.0,2.0,3.0,13.0,2.0,4.0,5.0,5.0,6.0,3.0,7.0,8.0,5.0,9.0,0.0,0.0,0.0,2.0,75.0,60.0,0.0,0.0,372235.0,33761.0,19800.0,31235.0,N,Cash,N,9,2016,9,1996,5,2018,6,2018
81749,18000.0,18000.0,18000.0, 36 months,10.42,584.37,1 year,MORTGAGE,72000.0,Not Verified,Current,n,debt_consolidation,MD,6.23,0.0,700.0,704.0,1.0,8.0,0.0,16901.0,44.4,15.0,w,9698.81,9698.81,10497.82,10497.82,8301.19,2196.63,0.0,0.0,0.0,584.37,674.0,670.0,0.0,1.0,Individual,0.0,652.0,167312.0,38100.0,1.0,20914.0,15885.0,47.7,0.0,0.0,64.0,151.0,11.0,11.0,1.0,30.0,0.0,0.0,4.0,5.0,5.0,9.0,2.0,7.0,12.0,5.0,8.0,0.0,0.0,0.0,1.0,86.7,20.0,0.0,0.0,195400.0,16901.0,30400.0,0.0,N,Cash,N,8,2017,1,2005,2,2019,2,2019
77996,25450.0,25450.0,25450.0, 60 months,17.57,640.33,8 years,MORTGAGE,58000.0,Source Verified,Charged Off,n,debt_consolidation,DE,27.35,0.0,685.0,689.0,0.0,25.0,0.0,8049.0,50.6,53.0,w,0.0,0.0,10885.61,10885.61,5125.06,5760.55,0.0,0.0,0.0,640.33,619.0,615.0,0.0,1.0,Individual,0.0,0.0,256181.0,15900.0,3.0,11645.0,4572.0,51.4,0.0,0.0,95.0,145.0,12.0,12.0,1.0,33.0,14.0,0.0,5.0,10.0,5.0,16.0,19.0,15.0,32.0,10.0,25.0,0.0,0.0,0.0,1.0,100.0,60.0,0.0,0.0,267922.0,108580.0,9400.0,91458.0,N,Cash,N,2,2014,1,2002,8,2015,2,2019
30999,3000.0,3000.0,3000.0, 36 months,9.49,96.09,10+ years,MORTGAGE,65839.0,Source Verified,Fully Paid,n,debt_consolidation,DC,8.55,0.0,670.0,674.0,0.0,7.0,0.0,9915.0,73.4,23.0,w,0.0,0.0,3018.99,3018.99,3000.0,18.99,0.0,0.0,0.0,3022.15,679.0,675.0,0.0,1.0,Individual,0.0,0.0,151362.0,13500.0,4.0,21623.0,0.0,101.6,0.0,0.0,124.0,133.0,3.0,3.0,4.0,23.0,13.0,0.0,1.0,5.0,1.0,4.0,9.0,5.0,10.0,5.0,7.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,169415.0,11072.0,4500.0,3000.0,N,Cash,N,6,2016,5,2005,7,2016,2,2019
18294,13000.0,13000.0,13000.0, 60 months,20.99,351.63,1 year,RENT,45000.0,Source Verified,Charged Off,n,debt_consolidation,MA,15.25,2.0,675.0,679.0,4.0,13.0,0.0,4971.0,49.7,26.0,w,0.0,0.0,5914.34,5914.34,1795.96,2737.33,0.0,1381.05,248.58900000000003,351.63,564.0,560.0,0.0,1.0,Individual,0.0,0.0,33952.0,10000.0,5.0,2612.0,1630.0,70.4,0.0,0.0,109.0,74.0,2.0,2.0,0.0,24.0,0.0,0.0,1.0,2.0,2.0,5.0,17.0,5.0,9.0,2.0,13.0,0.0,0.0,0.0,2.0,92.0,50.0,0.0,0.0,39211.0,33952.0,5500.0,29211.0,N,Cash,N,10,2014,9,2005,11,2015,9,2016
81976,35000.0,35000.0,34925.0, 60 months,16.59,862.15,5 years,MORTGAGE,94000.0,Verified,Fully Paid,n,debt_consolidation,NM,18.03,0.0,720.0,724.0,2.0,9.0,0.0,6093.0,38.6,27.0,f,0.0,0.0,46250.1200125724,46151.01,35000.0,11250.12,0.0,0.0,0.0,23834.22,714.0,710.0,0.0,1.0,Individual,0.0,0.0,225739.0,15800.0,5.0,25082.0,136.0,83.0,0.0,0.0,233.0,153.0,4.0,4.0,1.0,32.0,4.0,0.0,1.0,3.0,1.0,4.0,14.0,4.0,12.0,3.0,9.0,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0,266222.0,52786.0,800.0,70128.0,N,Cash,N,3,2014,10,1994,6,2016,11,2018
29876,10000.0,10000.0,10000.0, 36 months,7.99,313.32,10+ years,RENT,240000.0,Source Verified,Fully Paid,n,medical,TX,29.35,0.0,730.0,734.0,1.0,14.0,0.0,47427.0,68.1,26.0,w,0.0,0.0,10303.51,10303.51,10000.0,303.51,0.0,0.0,0.0,9372.43,714.0,710.0,0.0,1.0,Individual,0.0,0.0,160281.0,69600.0,5.0,12329.0,2565.0,40.3,0.0,0.0,86.0,356.0,6.0,6.0,2.0,81.0,6.0,0.0,1.0,5.0,1.0,6.0,8.0,8.0,16.0,5.0,14.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,253936.0,160281.0,4300.0,184336.0,N,Cash,N,5,2016,9,1986,10,2016,0,2018
85471,2500.0,2500.0,2500.0, 36 months,14.99,86.66,10+ years,MORTGAGE,45000.0,Not Verified,Fully Paid,n,other,IL,20.03,1.0,670.0,674.0,4.0,6.0,0.0,3239.0,79.0,18.0,w,0.0,0.0,3119.3575939764,3119.36,2500.0,619.36,0.0,0.0,0.0,86.26,619.0,615.0,0.0,1.0,Individual,0.0,0.0,216868.0,4100.0,2.0,36145.0,861.0,79.0,0.0,0.0,123.0,140.0,32.0,4.0,3.0,32.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,2.0,8.0,2.0,6.0,0.0,0.0,0.0,2.0,88.2,50.0,0.0,0.0,251163.0,22089.0,4100.0,27830.0,N,Cash,N,6,2014,10,2002,6,2017,9,2018
8959,16000.0,16000.0,16000.0, 36 months,7.69,499.1,10+ years,MORTGAGE,165000.0,Not Verified,Fully Paid,n,credit_card,NY,6.89,0.0,710.0,714.0,1.0,11.0,0.0,48570.0,78.0,24.0,w,0.0,0.0,17046.76,17046.76,16000.0,1046.76,0.0,0.0,0.0,12055.76,834.0,830.0,0.0,1.0,Individual,0.0,0.0,389373.0,67600.0,3.0,38937.0,6245.0,79.7,0.0,0.0,153.0,283.0,8.0,8.0,4.0,8.0,0.0,0.0,6.0,8.0,7.0,11.0,5.0,9.0,15.0,8.0,11.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,442475.0,71634.0,30800.0,29124.0,N,Cash,N,5,2014,10,1990,4,2015,5,2015
70029,21000.0,21000.0,21000.0, 60 months,20.99,568.01,7 years,MORTGAGE,95000.0,Source Verified,Charged Off,n,debt_consolidation,NY,17.02,0.0,695.0,699.0,0.0,10.0,0.0,10315.0,52.4,13.0,w,0.0,0.0,10191.62,10191.62,612.64,1198.98,0.0,8380.0,1508.4,700.09,604.0,600.0,0.0,1.0,Individual,0.0,271.0,174012.0,19700.0,4.0,17401.0,2437.0,58.7,0.0,0.0,94.0,100.0,17.0,9.0,1.0,59.0,10.0,0.0,2.0,6.0,3.0,4.0,4.0,7.0,8.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,199459.0,45206.0,5900.0,45732.0,N,Cash,Y,8,2015,4,2007,11,2015,2,2019
28324,39600.0,39600.0,39600.0, 36 months,8.99,1259.09,10+ years,MORTGAGE,832000.0,Source Verified,Fully Paid,n,home_improvement,MI,1.09,0.0,760.0,764.0,2.0,9.0,1.0,101.0,0.7,34.0,w,0.0,0.0,41994.965701696296,41994.97,39600.0,2394.97,0.0,0.0,0.0,19443.63,774.0,770.0,0.0,1.0,Individual,0.0,0.0,1037865.0,14500.0,4.0,115318.0,14399.0,0.7,0.0,0.0,169.0,183.0,30.0,9.0,11.0,51.0,2.0,0.0,2.0,2.0,4.0,6.0,14.0,4.0,8.0,2.0,9.0,0.0,0.0,0.0,2.0,90.6,0.0,0.0,1.0,1123582.0,17807.0,14500.0,26559.0,N,Cash,N,5,2016,2,2001,4,2017,2,2019
50521,10000.0,10000.0,10000.0, 60 months,15.02,238.01,< 1 year,RENT,41000.0,Not Verified,Current,n,credit_card,MD,23.71,0.0,675.0,679.0,0.0,19.0,0.0,11664.0,42.4,42.0,w,9657.22,9657.22,697.34,697.34,342.78,354.56,0.0,0.0,0.0,238.01,649.0,645.0,0.0,1.0,Individual,0.0,0.0,19627.0,27500.0,16.0,1033.0,4420.0,60.2,0.0,0.0,12.0,335.0,3.0,3.0,0.0,9.0,9.0,13.0,3.0,9.0,4.0,9.0,1.0,17.0,40.0,9.0,19.0,0.0,0.0,0.0,5.0,69.0,25.0,0.0,0.0,37299.0,19627.0,11100.0,8500.0,N,DirectPay,N,11,2018,0,1991,2,2019,2,2019
89741,4000.0,4000.0,4000.0, 36 months,18.06,144.74,< 1 year,RENT,30000.0,Source Verified,Current,n,moving,NY,14.44,1.0,665.0,669.0,0.0,13.0,0.0,5492.0,46.2,17.0,w,877.85,877.85,4040.29,4040.29,3122.15,918.14,0.0,0.0,0.0,144.74,564.0,560.0,0.0,1.0,Individual,0.0,0.0,45893.0,11900.0,7.0,3530.0,2256.0,52.0,0.0,0.0,126.0,42.0,8.0,8.0,0.0,9.0,9.0,3.0,5.0,11.0,6.0,8.0,3.0,12.0,14.0,11.0,13.0,0.0,0.0,0.0,6.0,76.5,0.0,0.0,0.0,42614.0,45893.0,4700.0,30714.0,N,Cash,N,6,2017,11,2006,2,2019,2,2019
8350,24500.0,24500.0,24425.0, 60 months,15.61,590.73,10+ years,MORTGAGE,80000.0,Not Verified,Fully Paid,n,debt_consolidation,TX,22.71,0.0,680.0,684.0,1.0,16.0,0.0,11160.0,45.6,28.0,f,0.0,0.0,29725.2891948797,29634.29,24500.0,5225.29,0.0,0.0,0.0,19704.13,764.0,760.0,0.0,1.0,Individual,0.0,0.0,148871.0,24500.0,6.0,12406.0,8305.0,24.5,0.0,0.0,146.0,161.0,4.0,4.0,1.0,4.0,4.0,0.0,2.0,5.0,4.0,5.0,12.0,10.0,13.0,5.0,16.0,0.0,0.0,0.0,4.0,92.9,25.0,0.0,0.0,186539.0,49300.0,11000.0,54828.0,N,Cash,N,6,2015,1,2002,0,2017,0,2017
4655,12000.0,12000.0,12000.0, 36 months,6.99,370.48,5 years,MORTGAGE,50000.0,Not Verified,Fully Paid,n,credit_card,CA,24.97,0.0,700.0,704.0,0.0,17.0,0.0,9436.0,35.6,23.0,w,0.0,0.0,12856.29,12856.29,12000.0,856.29,0.0,0.0,0.0,7678.89,634.0,630.0,0.0,1.0,Individual,0.0,0.0,229557.0,26500.0,4.0,14347.0,10423.0,46.8,0.0,0.0,16.0,205.0,10.0,10.0,1.0,10.0,15.0,1.0,4.0,5.0,8.0,12.0,1.0,15.0,21.0,5.0,17.0,0.0,0.0,0.0,1.0,100.0,25.0,0.0,0.0,272400.0,41346.0,19600.0,39300.0,N,Cash,N,0,2015,11,1997,4,2016,11,2018
90049,14000.0,14000.0,13975.0, 36 months,8.46,441.69,10+ years,MORTGAGE,60000.0,Verified,Current,n,debt_consolidation,TX,18.77,1.0,725.0,729.0,0.0,13.0,0.0,13066.0,40.8,29.0,f,11547.69,11527.07,3085.25,3079.74,2452.31,632.94,0.0,0.0,0.0,441.69,779.0,775.0,0.0,1.0,Individual,0.0,0.0,199985.0,32000.0,4.0,15383.0,14834.0,46.8,0.0,0.0,130.0,184.0,1.0,1.0,3.0,44.0,23.0,0.0,4.0,4.0,7.0,12.0,6.0,10.0,19.0,4.0,13.0,0.0,0.0,0.0,1.0,96.6,28.6,0.0,0.0,273992.0,22915.0,27900.0,42470.0,N,Cash,N,7,2018,7,1997,2,2019,2,2019
